TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
1104,XXX,2024-05-01,5,43,1,2024-05-01 05:42:59.999,CJOU214760220
1106,XXX,2024-05-01,6,4,0,2024-05-01 06:03:59.999,CJOU214760232
1106,XXX,2024-05-01,14,12,1,2024-05-01 14:12:00.000,CJOU214760220
1107,XXX,2024-05-01,6,7,0,2024-05-01 06:07:00.000,CJOU214760232
1107,XXX,2024-05-01,6,7,1,2024-05-01 06:07:00.000,CJOU214760220
1108,XXX,2024-05-01,5,51,1,2024-05-01 05:50:59.999,CJOU214760220
1108,XXX,2024-05-01,13,42,0,2024-05-01 13:41:59.999,CJOU214760232
1108,XXX,2024-05-01,21,58,1,2024-05-01 21:57:59.999,CJOU214760220
1109,XXX,2024-05-01,6,4,0,2024-05-01 06:03:59.999,CJOU214760232
1111,XXX,2024-05-01,15,41,1,2024-05-01 15:41:00.000,CJOU214760220
1111,XXX,2024-05-01,21,58,1,2024-05-01 21:57:59.999,CJOU214760220
1113,XXX,2024-05-01,9,0,0,2024-05-01 09:00:00.000,CJOU214760232
1113,XXX,2024-05-01,17,33,1,2024-05-01 17:33:00.000,CJOU214760220
1114,XXX,2024-05-01,14,12,0,2024-05-01 14:12:00.000,CJOU214760232
1114,XXX,2024-05-01,22,1,1,2024-05-01 22:00:59.999,CJOU214760220
1115,XXX,2024-05-01,13,56,0,2024-05-01 13:55:59.999,CJOU214760232
1115,XXX,2024-05-01,22,1,1,2024-05-01 22:00:59.999,CJOU214760220
1116,XXX,2024-05-01,9,9,0,2024-05-01 09:09:00.000,CJOU214760232
1116,XXX,2024-05-01,18,23,1,2024-05-01 18:22:59.999,CJOU214760220
1117,XXX,2024-05-01,5,43,0,2024-05-01 05:42:59.999,CJOU214760232
1117,XXX,2024-05-01,14,4,1,2024-05-01 14:03:59.999,CJOU214760220
