TOKEN,PDATE,INTIME1,OUTTIME1,INTIME2,OUTTIME2,INTIME3,OUTTIME3,INTIME4,OUTTIME4,INTIME,OUTTIME,TOTALTIME,REMARKS,MODE,PUNCH_STATUS,OT,SHIFT_STATUS,SHIFT_ST,SHIFT_ED,WORKHRS
10002,2025-10-01,2025-10-01 07:00,2025-10-01 13:55,2025-10-01 14:01,2025-10-02 07:05,,,,,2025-10-01 07:00,2025-10-02 07:05,23:59,*,1.0,PR,15:59,1S,2025-10-01 06:00:00,2025-10-01 14:30:00,8.3
10002,2025-10-01,2025-10-01 07:00,2025-10-01 13:55,2025-10-01 14:01,2025-10-02 07:05,,,,,2025-10-01 07:00,2025-10-02 07:05,23:59,*,1.0,PR,15:59,1S,2025-10-01 06:00:00,2025-10-01 14:30:00,8.3
10002,2025-10-02,2025-10-02 13:55,2025-10-02 20:55,2025-10-02 21:00,2025-10-03 07:15,,,,,2025-10-02 13:55,2025-10-03 07:15,17:15,*,1.0,PR,09:15,1S,2025-10-02 06:00:00,2025-10-02 14:30:00,8.3
10002,2025-10-02,2025-10-02 13:55,2025-10-02 20:55,2025-10-02 21:00,2025-10-03 07:15,,,,,2025-10-02 13:55,2025-10-03 07:15,17:15,*,1.0,PR,09:15,1S,2025-10-02 06:00:00,2025-10-02 14:30:00,8.3
10002,2025-10-03,2025-10-03 20:50,2025-10-04 06:55,,,,,,,2025-10-03 20:50,2025-10-04 06:55,10:05,,1.0,PR,02:05,1S,2025-10-03 06:00:00,2025-10-03 14:30:00,8.3
10002,2025-10-03,2025-10-03 20:50,2025-10-04 06:55,,,,,,,2025-10-03 20:50,2025-10-04 06:55,10:05,,1.0,PR,02:05,1S,2025-10-03 06:00:00,2025-10-03 14:30:00,8.3
10002,2025-10-04,2025-10-04 07:00,2025-10-04 14:00,2025-10-04 20:50,2025-10-05 06:55,,,,,2025-10-04 07:00,2025-10-05 06:55,17:05,*,1.0,PR,09:05,1S,2025-10-04 06:00:00,2025-10-04 14:30:00,8.3
10002,2025-10-04,2025-10-04 07:00,2025-10-04 14:00,2025-10-04 20:50,2025-10-05 06:55,,,,,2025-10-04 07:00,2025-10-05 06:55,17:05,*,1.0,PR,09:05,1S,2025-10-04 06:00:00,2025-10-04 14:30:00,8.3
10002,2025-10-05,2025-10-05 07:00,2025-10-05 14:00,,,,,,,2025-10-05 07:00,2025-10-05 14:00,07:00,,1.0,HD,00:00,1S,2025-10-05 06:00:00,2025-10-05 14:30:00,8.3
10002,2025-10-05,2025-10-05 07:00,2025-10-05 14:00,,,,,,,2025-10-05 07:00,2025-10-05 14:00,07:00,,1.0,HD,00:00,1S,2025-10-05 06:00:00,2025-10-05 14:30:00,8.3
10002,2025-10-06,2025-10-06 13:51,2025-10-06 21:00,,,,,,,2025-10-06 13:51,2025-10-06 21:00,07:09,,1.0,HD,00:00,1S,2025-10-06 06:00:00,2025-10-06 14:30:00,8.3
10002,2025-10-06,2025-10-06 13:51,2025-10-06 21:00,,,,,,,2025-10-06 13:51,2025-10-06 21:00,07:09,,1.0,HD,00:00,1S,2025-10-06 06:00:00,2025-10-06 14:30:00,8.3
10002,2025-10-07,2025-10-07 13:49,2025-10-07 21:00,,,,,,,2025-10-07 13:49,2025-10-07 21:00,07:11,,1.0,HD,00:00,1S,2025-10-07 06:00:00,2025-10-07 14:30:00,8.3
10002,2025-10-07,2025-10-07 13:49,2025-10-07 21:00,,,,,,,2025-10-07 13:49,2025-10-07 21:00,07:11,,1.0,HD,00:00,1S,2025-10-07 06:00:00,2025-10-07 14:30:00,8.3
10002,2025-10-08,2025-10-08 13:50,2025-10-08 21:00,,,,,,,2025-10-08 13:50,2025-10-08 21:00,07:10,,1.0,HD,00:00,1S,2025-10-08 06:00:00,2025-10-08 14:30:00,8.3
10002,2025-10-08,2025-10-08 13:50,2025-10-08 21:00,,,,,,,2025-10-08 13:50,2025-10-08 21:00,07:10,,1.0,HD,00:00,1S,2025-10-08 06:00:00,2025-10-08 14:30:00,8.3
10002,2025-10-09,2025-10-09 13:47,2025-10-09 21:00,,,,,,,2025-10-09 13:47,2025-10-09 21:00,07:13,,1.0,HD,00:00,1S,2025-10-09 06:00:00,2025-10-09 14:30:00,8.3
10002,2025-10-09,2025-10-09 13:47,2025-10-09 21:00,,,,,,,2025-10-09 13:47,2025-10-09 21:00,07:13,,1.0,HD,00:00,1S,2025-10-09 06:00:00,2025-10-09 14:30:00,8.3
10002,2025-10-10,2025-10-10 13:50,2025-10-10 21:00,,,,,,,2025-10-10 13:50,2025-10-10 21:00,07:10,,1.0,HD,00:00,1S,2025-10-10 06:00:00,2025-10-10 14:30:00,8.3
10002,2025-10-10,2025-10-10 13:50,2025-10-10 21:00,,,,,,,2025-10-10 13:50,2025-10-10 21:00,07:10,,1.0,HD,00:00,1S,2025-10-10 06:00:00,2025-10-10 14:30:00,8.3
10002,2025-10-11,2025-10-11 14:19,2025-10-11 21:15,,,,,,,2025-10-11 14:19,2025-10-11 21:15,06:56,,1.0,HD,00:00,1S,2025-10-11 06:00:00,2025-10-11 14:30:00,8.3
10002,2025-10-11,2025-10-11 14:19,2025-10-11 21:15,,,,,,,2025-10-11 14:19,2025-10-11 21:15,06:56,,1.0,HD,00:00,1S,2025-10-11 06:00:00,2025-10-11 14:30:00,8.3
10002,2025-10-12,2025-10-12 20:50,2025-10-13 07:15,,,,,,,2025-10-12 20:50,2025-10-13 07:15,10:25,,1.0,PR,02:25,1S,2025-10-12 06:00:00,2025-10-12 14:30:00,8.3
10002,2025-10-12,2025-10-12 20:50,2025-10-13 07:15,,,,,,,2025-10-12 20:50,2025-10-13 07:15,10:25,,1.0,PR,02:25,1S,2025-10-12 06:00:00,2025-10-12 14:30:00,8.3
10002,2025-10-13,2025-10-13 20:51,2025-10-14 07:05,,,,,,,2025-10-13 20:51,2025-10-14 07:05,10:14,,1.0,PR,02:14,1S,2025-10-13 06:00:00,2025-10-13 14:30:00,8.3
10002,2025-10-13,2025-10-13 20:51,2025-10-14 07:05,,,,,,,2025-10-13 20:51,2025-10-14 07:05,10:14,,1.0,PR,02:14,1S,2025-10-13 06:00:00,2025-10-13 14:30:00,8.3
10002,2025-10-14,2025-10-14 20:50,2025-10-15 07:00,,,,,,,2025-10-14 20:50,2025-10-15 07:00,10:10,,1.0,PR,02:10,1S,2025-10-14 06:00:00,2025-10-14 14:30:00,8.3
10002,2025-10-14,2025-10-14 20:50,2025-10-15 07:00,,,,,,,2025-10-14 20:50,2025-10-15 07:00,10:10,,1.0,PR,02:10,1S,2025-10-14 06:00:00,2025-10-14 14:30:00,8.3
