TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10003,001,2025-08-16,20,50,0,2025-08-16 20:50:00,CGCA231160041,False
10003,001,2025-08-17,7,7,1,2025-08-17 07:07:00,WED3240401322,False
10003,001,2025-08-17,7,8,0,2025-08-17 07:08:00,CGCA231160041,False
10003,001,2025-08-17,14,8,1,2025-08-17 14:08:00,WED3240401322,False
10003,001,2025-08-18,13,50,0,2025-08-18 13:50:00,CGCA231160041,False
10003,001,2025-08-18,21,0,1,2025-08-18 21:00:00,WED3240401322,False
10003,001,2025-08-19,13,50,0,2025-08-19 13:50:00,CGCA231160041,False
10003,001,2025-08-19,21,0,1,2025-08-19 21:00:00,WED3240401322,False
10003,001,2025-08-20,13,50,0,2025-08-20 13:50:00,CGCA231160041,False
10003,001,2025-08-20,21,0,1,2025-08-20 21:00:00,WED3240401322,False
10003,001,2025-08-21,13,50,0,2025-08-21 13:50:00,CGCA231160041,False
10003,001,2025-08-21,21,0,1,2025-08-21 21:00:00,WED3240401322,False
10003,001,2025-08-22,13,50,0,2025-08-22 13:50:00,CGCA231160041,False
10003,001,2025-08-22,21,0,1,2025-08-22 21:00:00,WED3240401322,False
10003,001,2025-08-23,13,50,0,2025-08-23 13:50:00,CGCA231160041,False
10003,001,2025-08-23,21,0,1,2025-08-23 21:00:00,WED3240401322,False
10003,001,2025-08-24,20,50,0,2025-08-24 20:50:00,CGCA231160041,False
10003,001,2025-08-25,7,2,1,2025-08-25 07:02:00,WED3240401322,False
10003,001,2025-08-25,20,50,0,2025-08-25 20:50:00,CGCA231160041,False
10003,001,2025-08-26,7,16,1,2025-08-26 07:16:00,WED3240401322,False
10003,001,2025-08-26,20,50,0,2025-08-26 20:50:00,CGCA231160041,False
10003,001,2025-08-27,6,59,1,2025-08-27 06:59:00,WED3240401322,False
10003,001,2025-08-27,7,0,1,2025-08-27 07:00:00,WED3240401322,False
10003,001,2025-08-27,20,50,0,2025-08-27 20:50:00,CGCA231160041,False
10003,001,2025-08-28,7,9,1,2025-08-28 07:09:00,WED3240401322,False
10003,001,2025-08-28,20,50,0,2025-08-28 20:50:00,CGCA231160041,False
10003,001,2025-08-29,7,0,1,2025-08-29 07:00:00,WED3240401322,False
10003,001,2025-08-29,20,50,0,2025-08-29 20:50:00,CGCA231160041,False
10003,001,2025-08-30,7,3,1,2025-08-30 07:03:00,WED3240401322,False
10003,001,2025-08-30,20,50,0,2025-08-30 20:50:00,CGCA231160041,False
10003,001,2025-08-31,6,50,1,2025-08-31 06:50:00,WED3240401322,False
10003,001,2025-08-31,6,51,0,2025-08-31 06:51:00,CGCA231160041,False
10003,001,2025-08-31,13,52,1,2025-08-31 13:52:00,WED3240401322,False
10003,001,2025-08-31,13,54,0,2025-08-31 13:54:00,CGCA231160041,False
10003,001,2025-08-31,21,0,1,2025-08-31 21:00:00,WED3240401322,False
10004,001,2025-08-01,7,41,0,2025-08-01 07:41:00,CGCA231160041,False
10004,001,2025-08-01,16,10,1,2025-08-01 16:10:00,WED3240401322,False
10004,001,2025-08-02,7,40,0,2025-08-02 07:40:00,CGCA231160041,False
10004,001,2025-08-02,16,0,1,2025-08-02 16:00:00,WED3240401322,False
10004,001,2025-08-04,7,49,0,2025-08-04 07:49:00,CGCA231160041,False
10004,001,2025-08-04,16,15,1,2025-08-04 16:15:00,WED3240401322,False
10004,001,2025-08-05,7,37,0,2025-08-05 07:37:00,CGCA231160041,False
10004,001,2025-08-05,16,14,1,2025-08-05 16:14:00,WED3240401322,False
10004,001,2025-08-06,7,53,0,2025-08-06 07:53:00,CGCA231160041,False
10004,001,2025-08-06,16,17,1,2025-08-06 16:17:00,WED3240401322,False
10004,001,2025-08-07,8,14,0,2025-08-07 08:14:00,CGCA231160041,False
10004,001,2025-08-07,16,26,1,2025-08-07 16:26:00,WED3240401322,False
10004,001,2025-08-08,7,40,0,2025-08-08 07:40:00,CGCA231160041,False
10004,001,2025-08-08,16,9,1,2025-08-08 16:09:00,WED3240401322,False
10004,001,2025-08-09,9,18,0,2025-08-09 09:18:00,CGCA231160041,False
10004,001,2025-08-09,16,10,1,2025-08-09 16:10:00,WED3240401322,False
10004,001,2025-08-11,7,42,0,2025-08-11 07:42:00,CGCA231160041,False
10004,001,2025-08-11,16,16,1,2025-08-11 16:16:00,WED3240401322,False
10004,001,2025-08-12,7,54,0,2025-08-12 07:54:00,CGCA231160041,False
10004,001,2025-08-12,16,17,1,2025-08-12 16:17:00,WED3240401322,False
10004,001,2025-08-13,7,40,0,2025-08-13 07:40:00,CGCA231160041,False
10004,001,2025-08-13,16,18,1,2025-08-13 16:18:00,WED3240401322,False
10004,001,2025-08-14,7,52,0,2025-08-14 07:52:00,CGCA231160041,False
10004,001,2025-08-14,16,12,1,2025-08-14 16:12:00,WED3240401322,False
10004,001,2025-08-16,7,45,0,2025-08-16 07:45:00,CGCA231160041,False
10004,001,2025-08-16,16,1,1,2025-08-16 16:01:00,WED3240401322,False
10004,001,2025-08-18,8,8,0,2025-08-18 08:08:00,CGCA231160041,False
10004,001,2025-08-18,16,12,1,2025-08-18 16:12:00,WED3240401322,False
10004,001,2025-08-19,7,53,0,2025-08-19 07:53:00,CGCA231160041,False
10004,001,2025-08-19,16,14,1,2025-08-19 16:14:00,WED3240401322,False
10004,001,2025-08-20,7,49,0,2025-08-20 07:49:00,CGCA231160041,False
10004,001,2025-08-20,16,15,1,2025-08-20 16:15:00,WED3240401322,False
10004,001,2025-08-21,8,8,0,2025-08-21 08:08:00,CGCA231160041,False
10004,001,2025-08-21,16,18,1,2025-08-21 16:18:00,WED3240401322,False
10004,001,2025-08-22,7,49,0,2025-08-22 07:49:00,CGCA231160041,False
10004,001,2025-08-22,16,15,1,2025-08-22 16:15:00,WED3240401322,False
