TOKEN,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31
93,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
95,PR,PR,AB,PR,PR,PR,AB,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB
102,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,HD,AB
103,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
104,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
106,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
112,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
113,PR,PR,HD,PR,PR,PR,PR,PR,PR,PR,PR,PR,HD,AB,HD,AB,PR,HD,PR,PR,PR,PR,HD,PR,PR,PR,PR,PR,PR,PR,PR
116,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
117,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR
118,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB
123,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
124,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
127,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
128,AB,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,AB,PR,PR,AB,PR,PR,PR,PR,PR,PR,HD,PR,AB,HD,PR,PR,PR,AB
129,PR,PR,PR,PR,PR,PR,PR,PR,PR,HD,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,PR,AB,HD,AB,AB,AB
130,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR
137,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
501,HD,HD,AB,HD,HD,HD,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,HD,AB,HD,AB,HD,AB,AB
504,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,AB,PR,HD,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
509,PR,PR,PR,PR,AB,PR,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB
511,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,AB
518,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
523,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
531,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
532,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB
533,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR
535,HD,PR,AB,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
