TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10010,001,2025-09-12,7,28,0,2025-09-12 07:28:00,CGCA231160041,False
10010,001,2025-09-12,15,32,1,2025-09-12 15:32:00,WED3240401322,False
10010,001,2025-09-13,7,37,0,2025-09-13 07:37:00,CGCA231160041,False
10010,001,2025-09-13,15,32,1,2025-09-13 15:32:00,WED3240401322,False
10010,001,2025-09-15,7,39,0,2025-09-15 07:39:00,CGCA231160041,False
10010,001,2025-09-15,15,38,1,2025-09-15 15:38:00,WED3240401322,False
10011,001,2025-09-01,7,25,0,2025-09-01 07:25:00,CGCA231160041,False
10011,001,2025-09-01,15,32,1,2025-09-01 15:32:00,WED3240401322,False
10011,001,2025-09-02,7,20,0,2025-09-02 07:20:00,CGCA231160041,False
10011,001,2025-09-02,15,30,1,2025-09-02 15:30:00,WED3240401322,False
10011,001,2025-09-03,7,28,0,2025-09-03 07:28:00,CGCA231160041,False
10011,001,2025-09-03,15,32,1,2025-09-03 15:32:00,WED3240401322,False
10011,001,2025-09-04,7,26,0,2025-09-04 07:26:00,CGCA231160041,False
10011,001,2025-09-04,15,29,1,2025-09-04 15:29:00,WED3240401322,False
10011,001,2025-09-05,7,25,0,2025-09-05 07:25:00,CGCA231160041,False
10011,001,2025-09-05,15,30,1,2025-09-05 15:30:00,WED3240401322,False
10011,001,2025-09-06,7,31,0,2025-09-06 07:31:00,CGCA231160041,False
10011,001,2025-09-06,15,31,1,2025-09-06 15:31:00,WED3240401322,False
10011,001,2025-09-08,7,22,0,2025-09-08 07:22:00,CGCA231160041,False
10011,001,2025-09-08,15,31,1,2025-09-08 15:31:00,WED3240401322,False
10011,001,2025-09-10,7,16,0,2025-09-10 07:16:00,CGCA231160041,False
10011,001,2025-09-10,15,31,1,2025-09-10 15:31:00,WED3240401322,False
10011,001,2025-09-11,7,33,0,2025-09-11 07:33:00,CGCA231160041,False
10011,001,2025-09-11,15,32,1,2025-09-11 15:32:00,WED3240401322,False
10011,001,2025-09-12,7,31,0,2025-09-12 07:31:00,CGCA231160041,False
10011,001,2025-09-12,15,31,1,2025-09-12 15:31:00,WED3240401322,False
10011,001,2025-09-13,7,28,0,2025-09-13 07:28:00,CGCA231160041,False
10011,001,2025-09-13,15,32,1,2025-09-13 15:32:00,WED3240401322,False
10011,001,2025-09-15,7,38,0,2025-09-15 07:38:00,CGCA231160041,False
10011,001,2025-09-15,15,38,1,2025-09-15 15:38:00,WED3240401322,False
